time/time_elapsed,time/fps,time/total_timesteps,time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,train/explained_variance,train/clip_range,train/entropy_loss,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/loss,train/clip_fraction,train/n_updates,eval/mean_reward,eval/mean_ep_length
193,997,192512,94,1615.34,836.8147583007812,0.69260144,0.2,-1.3636782452464105,0.00025,-0.0034121877019060777,181.0769638299942,0.0058961315,23.652246475219727,0.00400390625,930,,
194,999,194560,95,1637.52,842.8250122070312,0.83874846,0.2,-1.3468810617923737,0.00025,-0.0006335245678201317,269.26054511070254,0.0007284136,77.70664978027344,0.0,940,,
196,1000,196608,96,1577.24,834.5787353515625,0.86630255,0.2,-1.3469257295131682,0.00025,-0.004112434211128857,48.615991255640985,0.007460464,9.182644844055176,0.039892578125,950,,
198,1002,198656,97,1528.17,811.4319458007812,0.76152486,0.2,-1.362161297351122,0.00025,-0.002451731139444746,487.37702932357786,0.0027099466,224.51808166503906,0.0,960,,
,,200000,,,,0.7706469,0.2,-1.3701245591044426,0.00025,-0.0011706530247465707,351.97758543491364,0.0010037745,68.1047134399414,0.0,970,383.223876953125,2336.8
205,978,200704,98,1528.17,811.4319458007812,,,,,,,,,,,,
206,980,202752,99,1510.26,810.1461181640625,-0.35858428,0.2,-1.3756769746541977,0.00025,-0.0023303964284423274,356.70101206302644,0.005000792,162.95791625976562,0.00576171875,980,,
208,982,204800,100,1515.61,816.9801635742188,0.56409174,0.2,-1.3705666672438384,0.00025,-0.006015572833712212,139.3025085389614,0.008151831,16.403602600097656,0.05146484375,990,,
210,984,206848,101,1534.4,825.84423828125,0.6125759,0.2,-1.3683373972773551,0.00025,-0.0011942575583816506,547.4536664009095,0.0010941073,246.64144897460938,0.0,1000,,
211,986,208896,102,1518.37,836.2642211914062,0.82961804,0.2,-1.3670516159385442,0.00025,-0.002544825182121713,280.308459854126,0.004258642,89.55039978027344,0.00244140625,1010,,
213,988,210944,103,1544.01,863.229248046875,0.4576884,0.2,-1.3559717804193496,0.00025,-0.0018095016341248993,740.6198455810547,0.0018211737,254.4790496826172,0.0,1020,,
215,989,212992,104,1544.01,863.229248046875,0.7599611,0.2,-1.3648798547685146,0.00025,-0.0072691986453719435,301.6716302156448,0.009098494,37.111080169677734,0.055029296875,1030,,
216,991,215040,105,1574.83,871.713134765625,0.48897237,0.2,-1.3387018501758576,0.00025,-0.010628864080354105,77.28309168219566,0.012441311,20.441274642944336,0.1248046875,1040,,
218,993,217088,106,1574.83,871.713134765625,0.7169534,0.2,-1.3259274184703826,0.00025,-0.0008718702621990815,397.69808025360106,0.003135038,234.69680786132812,0.00107421875,1050,,
220,995,219136,107,1609.86,915.2262573242188,0.47322476,0.2,-1.3471550732851028,0.00025,-0.0021706112012907395,367.28268935680387,0.0029726995,93.45328521728516,0.0,1060,,
221,996,221184,108,1576.36,947.07568359375,0.8261961,0.2,-1.3522278789430857,0.00025,-0.0009291300102631794,205.92892117500304,0.0008083995,74.66556549072266,0.0,1070,,
223,998,223232,109,1576.36,947.07568359375,0.74823326,0.2,-1.3342261791229248,0.00025,-0.0022294646616501266,413.5180864810944,0.0031299451,87.63862609863281,0.001904296875,1080,,
,,225000,,,,0.7372806,0.2,-1.355675669759512,0.00025,-0.0010813827590027358,395.7340831756592,0.0011293917,101.17807006835938,0.0,1090,596.1473999023438,1495.9
228,984,225280,110,1572.26,952.1243896484375,,,,,,,,,,,,
230,986,227328,111,1573.02,955.7599487304688,0.65542436,0.2,-1.3679754316806794,0.00025,-0.004596626418060623,441.27736468315123,0.00641729,152.07400512695312,0.007470703125,1100,,
232,988,229376,112,1588.85,983.8727416992188,0.71145296,0.2,-1.3747161488980055,0.00025,-0.0021490646329766607,421.0112109184265,0.0039729374,153.1852264404297,0.0,1110,,
233,989,231424,113,1549.25,972.2418823242188,0.7165658,0.2,-1.3609988011419774,0.00025,-0.00460638055956224,532.5485786914826,0.007875626,171.57452392578125,0.001708984375,1120,,
235,991,233472,114,1549.25,972.2418823242188,0.8054213,0.2,-1.34695765376091,0.00025,-0.004378209440619685,733.7323380947113,0.004765918,238.3456268310547,0.00205078125,1130,,
237,992,235520,115,1536.01,965.0857543945312,0.40617448,0.2,-1.364580812677741,0.00025,-0.004131580519606359,317.4142661333084,0.006516681,129.91891479492188,0.0166015625,1140,,
238,994,237568,116,1536.01,965.0857543945312,0.7717632,0.2,-1.3673923134803772,0.00025,-0.001152379561244743,381.06008620262145,0.0023286357,88.97364044189453,0.0,1150,,
240,995,239616,117,1538.62,959.8903198242188,0.35053945,0.2,-1.3744351252913476,0.00025,-0.008411425155645701,69.14010553359985,0.00968378,17.731325149536133,0.07958984375,1160,,
242,997,241664,118,1538.62,959.8903198242188,0.60920477,0.2,-1.371856950223446,0.00025,-0.0025099830359977203,300.66405005455016,0.0055161607,86.53610229492188,0.0150390625,1170,,
244,998,243712,119,1565.1,956.8197021484375,0.85721064,0.2,-1.3727131463587283,0.00025,-0.00777444449486211,73.02940568327904,0.009458626,48.04117202758789,0.08349609375,1180,,
245,1000,245760,120,1554.52,978.7158813476562,0.83402944,0.2,-1.3533882603049279,0.00025,-0.007541283976752311,143.063660800457,0.0082235765,28.019433975219727,0.0595703125,1190,,
247,1001,247808,121,1528.04,955.2669677734375,0.772334,0.2,-1.3441649112850427,0.00025,-0.002319674244063208,428.2953817844391,0.0026987675,98.51251220703125,0.000341796875,1200,,
249,1003,249856,122,1549.0,946.8343505859375,0.58638436,0.2,-1.3511341854929924,0.00025,-0.000880773792596301,405.6488861083984,0.0014414256,115.8816909790039,0.0,1210,,
